Class,precision,recall,f1-score,support
0,0.998658024,0.999709918,0.999183694,355072
1,0.314197531,0.190074627,0.269054441,536
accuracy,0.998368991,0.998368991,0.998368991,0.998368991
macro avg,0.691427777,0.654892272,0.684119068,355608
weighted avg,0.997701716,0.998368991,0.997932459,355608
