Class,precision,recall,f1-score,support
0,0.998582534,0.999966204,0.99927389,355072
1,0.727272727,0.059701493,0.110344828,536
accuracy,0.998548964,0.998548964,0.998548964,0.998548964
macro avg,0.86292763,0.629833848,0.654809359,355608
weighted avg,0.998173594,0.998548964,0.997934027,355608
