Class,precision,recall,f1-score,support
0,0.998573872,0.999800041,0.99918658,355072
1,0.29,0.054104478,0.091194969,536
accuracy,0.998374615,0.998374615,0.998374615,0.998374615
macro avg,0.744286936,0.626952259,0.645190774,355608
weighted avg,0.997505854,0.998374615,0.997817984,355608
